arm,w,k,edit_rate_bucket,num_queries,recall,candidates_mean,candidates_p50,candidates_p99,grams_per_query_mean,query_p50_us,query_p99_us,query_mean_us,index_build_ms,index_distinct_grams,index_payload_bytes,corpus_size
exact,8,,0.02,40,1.0,15.0,15,30,103.125,5,17,5.9,0.44387000000000004,3040,136944,40
exact,8,,0.05,40,1.0,14.025,14,31,104.675,5,18,5.775,0.44387000000000004,3040,136944,40
exact,8,,0.1,40,1.0,13.675,14,27,100.175,6,20,7.05,0.44387000000000004,3040,136944,40
exact,8,,0.2,40,1.0,15.225,16,31,104.0,5,34,6.75,0.44387000000000004,3040,136944,40
exact,8,,0.3,40,1.0,14.725,15,31,100.725,4,19,5.8,0.44387000000000004,3040,136944,40
fst_levenshtein,8,0,0.02,40,1.0,15.0,15,30,103.125,820,3233,1040.525,2.480604,3040,114072,40
fst_levenshtein,8,0,0.05,40,1.0,14.025,14,31,104.675,807,3475,1031.475,2.480604,3040,114072,40
fst_levenshtein,8,0,0.1,40,1.0,13.675,14,27,100.175,778,2930,1015.15,2.480604,3040,114072,40
fst_levenshtein,8,0,0.2,40,1.0,15.225,16,31,104.0,856,2912,1021.975,2.480604,3040,114072,40
fst_levenshtein,8,0,0.3,40,1.0,14.725,15,31,100.725,741,3311,1002.175,2.480604,3040,114072,40
fst_levenshtein,8,1,0.02,40,1.0,24.375,27,35,103.125,12508,53355,16116.825,2.480604,3040,114072,40
fst_levenshtein,8,1,0.05,40,1.0,23.5,27,35,104.675,12597,52107,16179.725,2.480604,3040,114072,40
fst_levenshtein,8,1,0.1,40,1.0,23.475,26,35,100.175,13806,46247,16124.925,2.480604,3040,114072,40
fst_levenshtein,8,1,0.2,40,1.0,24.35,28,36,104.0,14015,46645,17085.625,2.480604,3040,114072,40
fst_levenshtein,8,1,0.3,40,1.0,24.725,28,35,100.725,12161,50974,15643.65,2.480604,3040,114072,40
fst_levenshtein,8,2,0.02,10,1.0,34.7,36,39,117.3,100539,318187,114022.9,2.480604,3040,114072,10
fst_levenshtein,8,2,0.05,10,1.0,34.2,36,39,120.4,107463,345374,125699.3,2.480604,3040,114072,10
fst_levenshtein,8,2,0.1,10,1.0,34.6,37,39,112.8,112567,306576,118182.4,2.480604,3040,114072,10
fst_levenshtein,8,2,0.2,10,1.0,32.8,35,40,117.5,112322,281002,113084.8,2.480604,3040,114072,10
fst_levenshtein,8,2,0.3,10,1.0,34.2,35,39,113.4,93950,305317,109659.2,2.480604,3040,114072,10
exact,12,,0.02,40,1.0,3.7,3,10,109.125,4,16,5.65,0.589035,3720,179888,40
exact,12,,0.05,40,1.0,3.725,3,11,109.15,4,15,5.15,0.589035,3720,179888,40
exact,12,,0.1,40,1.0,3.35,3,14,105.225,3,14,5.0,0.589035,3720,179888,40
exact,12,,0.2,40,0.925,3.375,3,12,108.125,4,27,5.875,0.589035,3720,179888,40
exact,12,,0.3,40,1.0,3.875,3,12,105.65,3,21,4.975,0.589035,3720,179888,40
fst_levenshtein,12,0,0.02,40,1.0,3.7,3,10,109.125,1103,4817,1504.575,4.4713519999999995,3720,152665,40
fst_levenshtein,12,0,0.05,40,1.0,3.725,3,11,109.15,1185,4809,1498.325,4.4713519999999995,3720,152665,40
fst_levenshtein,12,0,0.1,40,1.0,3.35,3,14,105.225,1088,4413,1445.125,4.4713519999999995,3720,152665,40
fst_levenshtein,12,0,0.2,40,0.925,3.375,3,12,108.125,1224,4260,1484.075,4.4713519999999995,3720,152665,40
fst_levenshtein,12,0,0.3,40,1.0,3.875,3,12,105.65,1199,5418,1474.3,4.4713519999999995,3720,152665,40
fst_levenshtein,12,1,0.02,40,1.0,7.175,6,19,109.125,18585,72834,23179.575,4.4713519999999995,3720,152665,40
fst_levenshtein,12,1,0.05,40,1.0,6.85,6,20,109.15,18352,71343,22503.275,4.4713519999999995,3720,152665,40
fst_levenshtein,12,1,0.1,40,1.0,6.8,6,21,105.225,17217,64757,21833.375,4.4713519999999995,3720,152665,40
fst_levenshtein,12,1,0.2,40,1.0,7.0,7,18,108.125,18379,63428,22367.85,4.4713519999999995,3720,152665,40
fst_levenshtein,12,1,0.3,40,1.0,7.15,5,20,105.65,15890,81121,21734.8,4.4713519999999995,3720,152665,40
fst_levenshtein,12,2,0.02,10,1.0,13.2,15,24,123.0,137726,489506,173489.8,4.4713519999999995,3720,152665,10
fst_levenshtein,12,2,0.05,10,1.0,11.9,13,26,125.7,138910,491486,180282.3,4.4713519999999995,3720,152665,10
fst_levenshtein,12,2,0.1,10,1.0,12.5,15,22,117.6,168031,436537,168990.4,4.4713519999999995,3720,152665,10
fst_levenshtein,12,2,0.2,10,1.0,13.2,16,24,122.0,174990,445730,177804.6,4.4713519999999995,3720,152665,10
fst_levenshtein,12,2,0.3,10,1.0,12.7,14,27,118.6,138084,477114,172101.5,4.4713519999999995,3720,152665,10
exact,16,,0.02,40,1.0,1.625,1,4,110.875,4,17,5.525,0.720559,3949,206048,40
exact,16,,0.05,40,0.975,1.6,1,4,109.325,4,15,5.225,0.720559,3949,206048,40
exact,16,,0.1,40,0.975,1.475,1,4,106.075,3,15,4.725,0.720559,3949,206048,40
exact,16,,0.2,40,0.9,1.275,1,3,108.8,3,43,5.475,0.720559,3949,206048,40
exact,16,,0.3,40,0.95,1.525,1,4,106.075,3,23,4.725,0.720559,3949,206048,40
fst_levenshtein,16,0,0.02,40,1.0,1.625,1,4,110.875,1793,7752,2437.5,6.892602999999999,3949,183797,40
fst_levenshtein,16,0,0.05,40,0.975,1.6,1,4,109.325,1939,7867,2446.1,6.892602999999999,3949,183797,40
fst_levenshtein,16,0,0.1,40,0.975,1.475,1,4,106.075,1666,6805,2372.075,6.892602999999999,3949,183797,40
fst_levenshtein,16,0,0.2,40,0.9,1.275,1,3,108.8,1872,7129,2422.2,6.892602999999999,3949,183797,40
fst_levenshtein,16,0,0.3,40,0.95,1.525,1,4,106.075,1670,8800,2366.075,6.892602999999999,3949,183797,40
fst_levenshtein,16,1,0.02,40,1.0,2.075,2,6,110.875,22575,95788,29917.525,6.892602999999999,3949,183797,40
fst_levenshtein,16,1,0.05,40,1.0,2.2,2,6,109.325,23504,94128,29241.45,6.892602999999999,3949,183797,40
fst_levenshtein,16,1,0.1,40,1.0,1.95,2,7,106.075,20319,85602,28383.625,6.892602999999999,3949,183797,40
fst_levenshtein,16,1,0.2,40,1.0,1.75,2,4,108.8,23903,91374,30446.05,6.892602999999999,3949,183797,40
fst_levenshtein,16,1,0.3,40,1.0,2.1,2,8,106.075,19328,110141,28397.725,6.892602999999999,3949,183797,40
fst_levenshtein,16,2,0.02,10,1.0,3.2,4,6,123.9,194081,697425,244988.8,6.892602999999999,3949,183797,10
fst_levenshtein,16,2,0.05,10,1.0,3.5,4,6,126.1,191099,662572,238041.9,6.892602999999999,3949,183797,10
fst_levenshtein,16,2,0.1,10,1.0,3.2,3,7,118.5,206267,581762,223593.6,6.892602999999999,3949,183797,10
fst_levenshtein,16,2,0.2,10,1.0,3.2,3,9,123.6,223752,609977,239211.7,6.892602999999999,3949,183797,10
fst_levenshtein,16,2,0.3,10,1.0,3.3,4,6,119.5,172571,665804,233435.7,6.892602999999999,3949,183797,10
exact,24,,0.02,40,1.0,1.1,1,2,108.225,9,49,13.2,1.2294370000000001,3948,237248,40
exact,24,,0.05,40,0.875,0.975,1,2,105.55,7,41,10.125,1.2294370000000001,3948,237248,40
exact,24,,0.1,40,0.775,0.825,1,2,102.725,7,31,8.7,1.2294370000000001,3948,237248,40
exact,24,,0.2,40,0.75,0.825,1,2,104.975,6,42,9.325,1.2294370000000001,3948,237248,40
exact,24,,0.3,40,0.625,0.7,1,2,102.275,5,38,7.3,1.2294370000000001,3948,237248,40
fst_levenshtein,24,0,0.02,40,1.0,1.1,1,2,108.225,2495,12186,3513.025,13.403866,3948,238908,40
fst_levenshtein,24,0,0.05,40,0.875,0.975,1,2,105.55,2506,11299,3447.15,13.403866,3948,238908,40
fst_levenshtein,24,0,0.1,40,0.775,0.825,1,2,102.725,2191,9944,3278.4,13.403866,3948,238908,40
fst_levenshtein,24,0,0.2,40,0.75,0.825,1,2,104.975,2573,10599,3338.9,13.403866,3948,238908,40
fst_levenshtein,24,0,0.3,40,0.625,0.7,1,2,102.275,2101,12294,3242.9,13.403866,3948,238908,40
fst_levenshtein,24,1,0.02,40,1.0,1.15,1,2,108.225,32713,157768,46430.3,13.403866,3948,238908,40
fst_levenshtein,24,1,0.05,40,1.0,1.1,1,2,105.55,33112,152283,44619.2,13.403866,3948,238908,40
fst_levenshtein,24,1,0.1,40,0.95,1.075,1,2,102.725,28981,134668,43891.525,13.403866,3948,238908,40
fst_levenshtein,24,1,0.2,40,0.8,0.925,1,2,104.975,33747,149283,45349.3,13.403866,3948,238908,40
fst_levenshtein,24,1,0.3,40,0.9,1.0,1,2,102.275,30903,183490,45227.725,13.403866,3948,238908,40
fst_levenshtein,24,2,0.02,10,1.0,1.2,1,2,119.7,1422207,5694875,1932214.1,13.403866,3948,238908,10
fst_levenshtein,24,2,0.05,10,1.0,1.2,1,2,121.0,1404928,5721892,1988473.1,13.403866,3948,238908,10
fst_levenshtein,24,2,0.1,10,1.0,1.1,1,2,114.3,1741899,5246092,1920872.3,13.403866,3948,238908,10
fst_levenshtein,24,2,0.2,10,1.0,1.1,1,2,117.8,1741485,5079408,1927460.2,13.403866,3948,238908,10
fst_levenshtein,24,2,0.3,10,1.0,1.1,1,2,114.4,1333068,5459991,1906282.3,13.403866,3948,238908,10
exact,32,,0.02,40,0.925,1.0,1,2,103.2,3,34,6.075,0.60437,3808,259168,40
exact,32,,0.05,40,0.75,0.825,1,2,100.1,3,21,5.075,0.60437,3808,259168,40
exact,32,,0.1,40,0.55,0.6,1,2,96.6,3,18,4.65,0.60437,3808,259168,40
exact,32,,0.2,40,0.65,0.7,1,2,99.1,3,16,4.45,0.60437,3808,259168,40
exact,32,,0.3,40,0.525,0.575,1,2,96.95,3,32,5.2,0.60437,3808,259168,40
fst_levenshtein,32,0,0.02,40,0.925,1.0,1,2,103.2,3657,18987,5420.65,15.860335999999998,3808,287812,40
fst_levenshtein,32,0,0.05,40,0.75,0.825,1,2,100.1,3616,18421,5149.075,15.860335999999998,3808,287812,40
fst_levenshtein,32,0,0.1,40,0.55,0.6,1,2,96.6,3269,16506,5035.175,15.860335999999998,3808,287812,40
fst_levenshtein,32,0,0.2,40,0.65,0.7,1,2,99.1,3739,16954,5169.975,15.860335999999998,3808,287812,40
fst_levenshtein,32,0,0.3,40,0.525,0.575,1,2,96.95,3065,19622,5025.775,15.860335999999998,3808,287812,40
fst_levenshtein,32,1,0.02,40,1.0,1.1,1,2,103.2,43612,219171,63310.2,15.860335999999998,3808,287812,40
fst_levenshtein,32,1,0.05,40,0.975,1.075,1,2,100.1,42156,212828,61127.275,15.860335999999998,3808,287812,40
fst_levenshtein,32,1,0.1,40,0.8,0.85,1,2,96.6,39310,191124,58732.5,15.860335999999998,3808,287812,40
fst_levenshtein,32,1,0.2,40,0.75,0.8,1,2,99.1,45916,197853,59023.9,15.860335999999998,3808,287812,40
fst_levenshtein,32,1,0.3,40,0.65,0.7,1,2,96.95,38580,236550,61207.85,15.860335999999998,3808,287812,40
fst_levenshtein,32,2,0.02,10,1.0,1.0,1,1,113.2,1723686,7302194,2398402.7,15.860335999999998,3808,287812,10
fst_levenshtein,32,2,0.05,10,1.0,1.0,1,1,114.6,1665591,7519234,2449737.4,15.860335999999998,3808,287812,10
fst_levenshtein,32,2,0.1,10,1.0,1.0,1,1,107.9,2065051,6540430,2300138.0,15.860335999999998,3808,287812,10
fst_levenshtein,32,2,0.2,10,0.8,0.8,1,1,110.6,2136926,6605301,2347843.7,15.860335999999998,3808,287812,10
fst_levenshtein,32,2,0.3,10,0.9,0.9,1,1,107.2,1473754,6622508,2185330.1,15.860335999999998,3808,287812,10
